         2870646 function calls (2775656 primitive calls) in 41.841 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     4380    0.001    0.000    0.001    0.000 dataclasses.py:1028(<genexpr>)
      436    0.001    0.000    0.003    0.000 _dtype.py:319(_name_includes_bit_suffix)
      480    0.001    0.000    0.031    0.000 <__array_function__ internals>:2(norm)
      220    0.001    0.000    0.227    0.001 __init__.py:1491(_log)
      240    0.001    0.000    0.002    0.000 function_base.py:4196(<listcomp>)
     2596    0.001    0.000    0.001    0.000 {built-in method numpy.core._multiarray_umath.normalize_axis_index}
      236    0.001    0.000    0.001    0.000 {built-in method itertools.tee}
      218    0.001    0.000    0.001    0.000 <string>:2(__init__)
     4360    0.001    0.000    0.001    0.000 {built-in method builtins.setattr}
      881    0.001    0.000    0.001    0.000 iostream.py:93(_event_pipe)
      220    0.001    0.000    0.009    0.000 __init__.py:595(format)
      716    0.001    0.000    0.002    0.000 <__array_function__ internals>:2(ndim)
      333    0.001    0.000    0.361    0.001 <__array_function__ internals>:2(shape)
      720    0.001    0.000    0.003    0.000 function_base.py:2115(<listcomp>)
     2160    0.001    0.000    0.001    0.000 function_base.py:2116(<genexpr>)
      480    0.001    0.000    0.003    0.000 <__array_function__ internals>:2(atleast_1d)
      225    0.001    0.000    0.001    0.000 ntpath.py:122(splitdrive)
      240    0.001    0.000    0.003    0.000 numeric.py:90(zeros_like)
      219    0.001    0.000    0.001    0.000 csv.py:146(_dict_to_list)
      240    0.001    0.000    0.001    0.000 _minimize.py:799(standardize_constraints)
      480    0.001    0.000    0.011    0.000 <__array_function__ internals>:2(prod)
     1200    0.001    0.000    0.001    0.000 six.py:131(<genexpr>)
      220    0.001    0.000    0.207    0.001 __init__.py:881(handle)
     1101    0.001    0.000    0.002    0.000 threading.py:1050(_wait_for_tstate_lock)
      698    0.001    0.000    0.001    0.000 function_base.py:257(iterable)
      480    0.001    0.000    0.004    0.000 <__array_function__ internals>:2(dot)
      236    0.001    0.000    0.001    0.000 fitpack2.py:205(_reset_class)
      872    0.001    0.000    0.001    0.000 functools.py:458(lru_cache)
      236    0.001    0.000    1.058    0.004 function_base.py:3714(quantile)
      436    0.001    0.000    0.001    0.000 {method 'format' of 'str' objects}
      240    0.001    0.000    0.002    0.000 type_check.py:85(asfarray)
      240    0.001    0.000    0.001    0.000 linalg.py:144(_commonType)
      436    0.001    0.000    0.282    0.001 utils.py:221(convert_to_float)
      220    0.001    0.000    0.001    0.000 ntpath.py:44(normcase)
      872    0.001    0.000    0.001    0.000 filters.py:50(_invalid_origin)
     3076    0.001    0.000    0.001    0.000 {built-in method _operator.index}
      236    0.001    0.000    1.054    0.004 function_base.py:3821(_quantile_unchecked)
      472    0.001    0.000    0.003    0.000 fromnumeric.py:97(take)
     1152    0.001    0.000    0.008    0.000 _methods.py:44(_any)
      716    0.001    0.000    0.001    0.000 numeric.py:1786(isscalar)
      220    0.001    0.000    0.001    0.000 __init__.py:421(format)
      436    0.001    0.000    0.001    0.000 filters.py:294(<listcomp>)
      436    0.001    0.000    0.001    0.000 getlimits.py:521(max)
      220    0.001    0.000    0.013    0.000 __init__.py:1476(makeRecord)
      220    0.001    0.000    0.001    0.000 genericpath.py:121(_splitext)
      472    0.001    0.000    0.003    0.000 <__array_function__ internals>:2(concatenate)
      221    0.001    0.000    0.018    0.000 iostream.py:322(_schedule_flush)
      219    0.001    0.000    0.001    0.000 {built-in method _codecs.charmap_encode}
      472    0.001    0.000    0.004    0.000 <__array_function__ internals>:2(take)
      240    0.001    0.000    0.117    0.000 <__array_function__ internals>:2(where)
      872    0.001    0.000    0.009    0.000 _methods.py:36(_sum)
      236    0.001    0.000    1.059    0.004 <__array_function__ internals>:2(quantile)
      220    0.001    0.000    0.003    0.000 threading.py:499(__init__)
      720    0.001    0.000    0.001    0.000 function_base.py:2079(<listcomp>)
      960    0.001    0.000    0.001    0.000 linalg.py:121(isComplexType)
      236    0.001    0.000    0.002    0.000 recipes.py:253(pairwise)
      872    0.001    0.000    0.001    0.000 dtype.py:139(<genexpr>)
      220    0.001    0.000    0.209    0.001 __init__.py:1516(handle)
      440    0.000    0.000    0.001    0.000 __init__.py:838(acquire)
     1180    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
      720    0.000    0.000    0.000    0.000 function_base.py:2088(<listcomp>)
      472    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(count_nonzero)
      240    0.000    0.000    0.000    0.000 linalg.py:111(get_linalg_error_extobj)
      240    0.000    0.000    0.009    0.000 stride_tricks.py:270(<listcomp>)
      716    0.000    0.000    0.000    0.000 fromnumeric.py:3037(ndim)
      236    0.000    0.000    0.000    0.000 fitpack2.py:229(_set_class)
      698    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
      660    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      720    0.000    0.000    0.000    0.000 stride_tricks.py:26(_maybe_view_as_subclass)
      240    0.000    0.000    0.003    0.000 <__array_function__ internals>:2(asfarray)
      440    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.RLock' objects}
      236    0.000    0.000    0.006    0.000 <__array_function__ internals>:2(diff)
      240    0.000    0.000    0.020    0.000 <__array_function__ internals>:2(meshgrid)
      240    0.000    0.000    0.014    0.000 <__array_function__ internals>:2(broadcast_arrays)
      240    0.000    0.000    0.002    0.000 fromnumeric.py:1193(argmin)
      220    0.000    0.000    0.001    0.000 __init__.py:154(<lambda>)
      220    0.000    0.000    0.002    0.000 ntpath.py:201(splitext)
      240    0.000    0.000    0.002    0.000 <__array_function__ internals>:2(unravel_index)
      109    0.000    0.000    0.002    0.000 overlap.py:176(covariance)
      436    0.000    0.000    0.000    0.000 _dtype.py:36(_kind_name)
      698    0.000    0.000    0.000    0.000 {built-in method builtins.min}
      436    0.000    0.000    0.000    0.000 colorconv.py:59(guess_spatial_dimensions)
      240    0.000    0.000    0.001    0.000 linalg.py:116(_makearray)
      220    0.000    0.000    0.001    0.000 __init__.py:573(usesTime)
      240    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(empty_like)
      113    0.000    0.000    0.002    0.000 fromnumeric.py:1625(trace)
      720    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
      240    0.000    0.000    0.003    0.000 <__array_function__ internals>:2(argmin)
      220    0.000    0.000    0.009    0.000 __init__.py:858(format)
      720    0.000    0.000    0.000    0.000 function_base.py:2078(<listcomp>)
      240    0.000    0.000    0.004    0.000 <__array_function__ internals>:2(zeros_like)
     1101    0.000    0.000    0.000    0.000 threading.py:507(is_set)
      872    0.000    0.000    0.000    0.000 _ni_support.py:86(_check_axis)
      240    0.000    0.000    0.010    0.000 <__array_function__ internals>:2(inv)
      266    0.000    0.000    0.003    0.000 fromnumeric.py:3590(round_)
      218    0.000    0.000    0.044    0.000 dataclasses.py:1043(asdict)
      219    0.000    0.000    0.071    0.000 csv.py:154(writerow)
      472    0.000    0.000    0.001    0.000 numeric.py:402(count_nonzero)
      441    0.000    0.000    0.000    0.000 {built-in method nt.getpid}
      445    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
      240    0.000    0.000    0.000    0.000 linalg.py:203(_assert_stacked_2d)
      440    0.000    0.000    0.000    0.000 __init__.py:845(release)
      220    0.000    0.000    0.000    0.000 {built-in method time.time}
      440    0.000    0.000    0.000    0.000 __init__.py:736(filter)
      266    0.000    0.000    0.003    0.000 <__array_function__ internals>:2(round_)
      472    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.count_nonzero}
      887    0.000    0.000    0.000    0.000 {built-in method nt.fspath}
