         2999959 function calls (2905722 primitive calls) in 44.969 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1308    0.001    0.000    0.002    0.000 _ni_support.py:55(_normalize_sequence)
      244    0.001    0.000    0.001    0.000 stride_tricks.py:185(_broadcast_shape)
      244    0.001    0.000    0.012    0.000 stride_tricks.py:206(broadcast_arrays)
      872    0.001    0.000    0.004    0.000 <__array_function__ internals>:2(iscomplexobj)
     4578    0.001    0.000    0.003    0.000 dataclasses.py:1031(_is_dataclass_instance)
     1441    0.001    0.000    0.001    0.000 iostream.py:93(_event_pipe)
      872    0.001    0.000    0.010    0.000 {method 'sum' of 'numpy.ndarray' objects}
      365    0.001    0.000    0.002    0.000 ntpath.py:122(splitdrive)
      482    0.001    0.000    0.001    0.000 {method 'take' of 'numpy.ndarray' objects}
      360    0.001    0.000    0.343    0.001 __init__.py:881(handle)
      488    0.001    0.000    0.096    0.000 <__array_function__ internals>:2(sum)
      109    0.001    0.000   42.637    0.391 overlap.py:99(computeshift)
      436    0.001    0.000    0.391    0.001 dtype.py:387(img_as_float)
      218    0.001    0.000    0.002    0.000 function_base.py:2031(__init__)
      488    0.001    0.000    0.002    0.000 six.py:130(callable)
      360    0.001    0.000    0.002    0.000 ntpath.py:44(normcase)
     1205    0.001    0.000    0.020    0.000 <__array_function__ internals>:2(moveaxis)
      488    0.001    0.000    0.002    0.000 shape_base.py:25(atleast_1d)
      111    0.001    0.000    0.001    0.000 {method 'trace' of 'numpy.ndarray' objects}
     1801    0.001    0.000    0.002    0.000 threading.py:1050(_wait_for_tstate_lock)
      276    0.001    0.000    0.001    0.000 {method 'round' of 'numpy.generic' objects}
     1002    0.001    0.000    0.005    0.000 fromnumeric.py:55(_wrapfunc)
     1205    0.001    0.000    0.001    0.000 {built-in method builtins.sorted}
      488    0.001    0.000    0.008    0.000 fromnumeric.py:2843(prod)
      729    0.001    0.000    0.003    0.000 <__array_function__ internals>:2(ndim)
      436    0.001    0.000    0.002    0.000 dtype.py:137(_dtype_itemsize)
      872    0.001    0.000    0.007    0.000 functools.py:492(decorating_function)
     4380    0.001    0.000    0.001    0.000 csv.py:152(<genexpr>)
     2410    0.001    0.000    0.002    0.000 numeric.py:1327(<listcomp>)
      436    0.001    0.000    0.003    0.000 _dtype.py:319(_name_includes_bit_suffix)
      360    0.001    0.000    0.001    0.000 __init__.py:421(format)
     1205    0.001    0.000    0.001    0.000 {method 'transpose' of 'numpy.ndarray' objects}
     2651    0.001    0.000    0.001    0.000 {built-in method numpy.core._multiarray_umath.normalize_axis_index}
      361    0.001    0.000    0.022    0.000 iostream.py:322(_schedule_flush)
      360    0.001    0.000    0.002    0.000 genericpath.py:121(_splitext)
      360    0.001    0.000    0.346    0.001 __init__.py:1516(handle)
      360    0.001    0.000    0.006    0.000 threading.py:499(__init__)
      244    0.001    0.000    0.002    0.000 function_base.py:4196(<listcomp>)
      336    0.001    0.000    0.354    0.001 <__array_function__ internals>:2(shape)
      732    0.001    0.000    0.013    0.000 function_base.py:2164(<listcomp>)
      244    0.001    0.000    0.001    0.000 {method 'argmin' of 'numpy.ndarray' objects}
      732    0.001    0.000    0.003    0.000 function_base.py:2115(<listcomp>)
      241    0.001    0.000    0.001    0.000 {built-in method itertools.tee}
      218    0.001    0.000    0.001    0.000 <string>:2(__init__)
      360    0.001    0.000    0.020    0.000 __init__.py:1476(makeRecord)
      244    0.001    0.000    0.003    0.000 numeric.py:90(zeros_like)
     1220    0.001    0.000    0.001    0.000 six.py:131(<genexpr>)
     4360    0.001    0.000    0.001    0.000 {built-in method builtins.setattr}
      488    0.001    0.000    0.003    0.000 <__array_function__ internals>:2(atleast_1d)
      706    0.001    0.000    0.001    0.000 function_base.py:257(iterable)
      720    0.001    0.000    0.001    0.000 __init__.py:838(acquire)
      488    0.001    0.000    0.028    0.000 <__array_function__ internals>:2(norm)
      488    0.001    0.000    0.010    0.000 <__array_function__ internals>:2(prod)
     9314    0.001    0.000    0.001    0.000 {built-in method builtins.id}
      244    0.001    0.000    0.001    0.000 _minimize.py:799(standardize_constraints)
      244    0.001    0.000    0.002    0.000 type_check.py:85(asfarray)
      488    0.001    0.000    0.004    0.000 <__array_function__ internals>:2(dot)
     2196    0.001    0.000    0.001    0.000 function_base.py:2116(<genexpr>)
      241    0.001    0.000    0.001    0.000 fitpack2.py:205(_reset_class)
      219    0.001    0.000    0.001    0.000 dataclasses.py:1013(fields)
     1165    0.001    0.000    0.008    0.000 _methods.py:44(_any)
      241    0.001    0.000    0.943    0.004 function_base.py:3821(_quantile_unchecked)
      872    0.001    0.000    0.001    0.000 functools.py:458(lru_cache)
      360    0.001    0.000    0.001    0.000 __init__.py:360(getMessage)
      729    0.001    0.000    0.001    0.000 numeric.py:1786(isscalar)
     1080    0.001    0.000    0.001    0.000 {method 'rfind' of 'str' objects}
      241    0.001    0.000    0.948    0.004 function_base.py:3714(quantile)
      244    0.001    0.000    0.001    0.000 linalg.py:144(_commonType)
      872    0.001    0.000    0.001    0.000 filters.py:50(_invalid_origin)
      482    0.001    0.000    0.003    0.000 fromnumeric.py:97(take)
     3139    0.001    0.000    0.001    0.000 {built-in method _operator.index}
      436    0.001    0.000    0.001    0.000 getlimits.py:521(max)
      234    0.001    0.000    0.004    0.000 {built-in method _warnings.warn}
      436    0.001    0.000    0.001    0.000 filters.py:294(<listcomp>)
     4380    0.001    0.000    0.001    0.000 dataclasses.py:1028(<genexpr>)
      482    0.001    0.000    0.004    0.000 <__array_function__ internals>:2(take)
      720    0.001    0.000    0.001    0.000 {method 'acquire' of '_thread.RLock' objects}
      360    0.001    0.000    0.003    0.000 ntpath.py:201(splitext)
      482    0.001    0.000    0.003    0.000 <__array_function__ internals>:2(concatenate)
      436    0.001    0.000    0.391    0.001 utils.py:221(convert_to_float)
      360    0.001    0.000    0.001    0.000 __init__.py:154(<lambda>)
      219    0.001    0.000    0.001    0.000 csv.py:146(_dict_to_list)
      482    0.001    0.000    0.002    0.000 <__array_function__ internals>:2(count_nonzero)
      872    0.001    0.000    0.008    0.000 _methods.py:36(_sum)
      436    0.001    0.000    0.001    0.000 {method 'format' of 'str' objects}
      244    0.001    0.000    0.116    0.000 <__array_function__ internals>:2(where)
      360    0.001    0.000    0.001    0.000 __init__.py:418(usesTime)
      360    0.001    0.000    0.014    0.000 __init__.py:858(format)
      720    0.001    0.000    0.001    0.000 __init__.py:845(release)
      241    0.001    0.000    0.001    0.000 fitpack2.py:229(_set_class)
      360    0.001    0.000    0.001    0.000 {built-in method time.time}
      241    0.001    0.000    0.002    0.000 recipes.py:253(pairwise)
      732    0.001    0.000    0.001    0.000 function_base.py:2079(<listcomp>)
     1801    0.001    0.000    0.001    0.000 threading.py:507(is_set)
      872    0.000    0.000    0.000    0.000 dtype.py:139(<genexpr>)
      721    0.000    0.000    0.000    0.000 {built-in method nt.getpid}
      729    0.000    0.000    0.000    0.000 fromnumeric.py:3037(ndim)
      976    0.000    0.000    0.001    0.000 linalg.py:121(isComplexType)
      244    0.000    0.000    0.008    0.000 stride_tricks.py:270(<listcomp>)
      720    0.000    0.000    0.000    0.000 __init__.py:736(filter)
     1205    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
      360    0.000    0.000    0.001    0.000 __init__.py:117(getLevelName)
      241    0.000    0.000    0.006    0.000 <__array_function__ internals>:2(diff)
      360    0.000    0.000    0.001    0.000 threading.py:1225(current_thread)
      241    0.000    0.000    0.948    0.004 <__array_function__ internals>:2(quantile)
      706    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
      244    0.000    0.000    0.002    0.000 fromnumeric.py:1193(argmin)
      360    0.000    0.000    0.000    0.000 __init__.py:1614(isEnabledFor)
      244    0.000    0.000    0.019    0.000 <__array_function__ internals>:2(meshgrid)
     1447    0.000    0.000    0.000    0.000 {built-in method nt.fspath}
      732    0.000    0.000    0.000    0.000 stride_tricks.py:26(_maybe_view_as_subclass)
      725    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
      360    0.000    0.000    0.001    0.000 __init__.py:573(usesTime)
      244    0.000    0.000    0.000    0.000 linalg.py:111(get_linalg_error_extobj)
      361    0.000    0.000    0.001    0.000 iostream.py:309(_is_master_process)
      360    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
      219    0.000    0.000    0.000    0.000 {built-in method _codecs.charmap_encode}
